                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2757,                 1.0967,                0.97315,                0.76758,                0.94077,                0.94724,                0.62983,                 1.1838,                0.85774,                0.94985,             0.00029729,             0.00029729,             0.00029729
                     49,                 1.2396,                 1.0769,                0.95642,                 0.7217,                0.93252,                0.94977,                0.64726,                 1.2078,                0.82765,                0.94883,             0.00029179,             0.00029179,             0.00029179
                     50,                 1.2397,                 1.1021,                0.95484,                0.77131,                0.93656,                0.95249,                0.62797,                 1.2133,                0.82196,                0.95705,             0.00028628,             0.00028628,             0.00028628
                     51,                 1.3024,                 1.0715,                  0.963,                0.74485,                0.93843,                0.95163,                0.62608,                 1.2088,                0.85698,                0.95835,             0.00028078,             0.00028078,             0.00028078
                     52,                 1.2703,                 1.0656,                0.95482,                  0.782,                0.92031,                0.95219,                0.63765,                 1.2059,                 0.8202,                0.96408,             0.00027528,             0.00027528,             0.00027528
                     53,                  1.303,                 1.0635,                0.97149,                0.81425,                0.93176,                0.96491,                0.61618,                 1.2435,                0.80834,                 0.9646,             0.00026977,             0.00026977,             0.00026977
                     54,                 1.2981,                 1.0834,                 0.9688,                0.84774,                0.93005,                0.95979,                0.63868,                 1.2284,                0.79247,                0.95926,             0.00026427,             0.00026427,             0.00026427
                     55,                 1.2539,                 1.0981,                0.96873,                0.89858,                 0.9305,                 0.9692,                 0.6528,                 1.2204,                0.79515,                0.95533,             0.00025876,             0.00025876,             0.00025876
                     56,                 1.2566,                  1.026,                0.95076,                0.88794,                0.93831,                0.96907,                0.64444,                 1.1649,                0.77375,                0.94696,             0.00025326,             0.00025326,             0.00025326
                     57,                 1.2692,                 1.0941,                0.96722,                0.83605,                0.96052,                0.97197,                0.66426,                 1.1835,                0.76509,                0.95025,             0.00024775,             0.00024775,             0.00024775
                     58,                 1.2625,                 1.0561,                0.94988,                0.85974,                0.84673,                0.95669,                0.63983,                 1.2393,                  0.844,                0.95691,             0.00024225,             0.00024225,             0.00024225
                     59,                 1.2378,                 1.0465,                0.94596,                0.84841,                0.85823,                0.92654,                0.61653,                 1.1867,                0.82873,                0.95345,             0.00023674,             0.00023674,             0.00023674
                     60,                 1.2435,                 1.0279,                0.95579,                0.80596,                0.96182,                0.97224,                0.61199,                 1.2128,                0.74525,                0.95278,             0.00023124,             0.00023124,             0.00023124
                     61,                 1.2197,                 0.9963,                0.94536,                 0.8172,                 0.9609,                0.96311,                0.61875,                 1.2003,                0.74127,                 0.9512,             0.00022574,             0.00022574,             0.00022574
                     62,                 1.2648,                 1.0208,                0.95276,                0.79594,                0.97987,                 0.9674,                0.62894,                 1.1783,                0.73991,                 0.9426,             0.00022023,             0.00022023,             0.00022023
                     63,                 1.2366,                 1.0391,                0.95573,                0.81067,                0.98218,                0.97354,                0.61876,                 1.2093,                0.74781,                0.94568,             0.00021473,             0.00021473,             0.00021473
                     64,                 1.2261,                0.96759,                0.94141,                 0.8906,                0.95007,                 0.9718,                0.63963,                 1.1604,                0.74933,                0.93796,             0.00020922,             0.00020922,             0.00020922
                     65,                   1.21,                 1.0046,                0.95374,                0.92063,                0.94025,                0.97403,                 0.6413,                 1.1528,                0.74859,                0.93521,             0.00020372,             0.00020372,             0.00020372
                     66,                 1.2019,                 1.0067,                0.94485,                0.89957,                0.94402,                 0.9787,                0.63484,                  1.194,                0.76182,                0.94254,             0.00019821,             0.00019821,             0.00019821
                     67,                 1.2185,                0.99911,                0.95987,                0.88329,                0.96667,                0.97676,                0.63989,                 1.1929,                0.78703,                0.94753,             0.00019271,             0.00019271,             0.00019271
                     68,                 1.1845,                   0.98,                0.95186,                0.84807,                0.97199,                0.97303,                0.64314,                 1.2215,                 0.8298,                0.95046,             0.00018721,             0.00018721,             0.00018721
                     69,                 1.2265,                0.98524,                0.94728,                0.90813,                0.94101,                0.96869,                0.64098,                 1.2341,                0.79117,                 0.9531,              0.0001817,              0.0001817,              0.0001817
                     70,                 1.1909,                0.95168,                0.93336,                0.90008,                 0.9466,                0.97068,                  0.639,                 1.2138,                0.75189,                0.95293,              0.0001762,              0.0001762,              0.0001762
                     71,                 1.2033,                0.96271,                0.95129,                0.88288,                0.95225,                0.96952,                0.62741,                 1.2431,                0.76612,                 0.9553,             0.00017069,             0.00017069,             0.00017069
                     72,                 1.2378,                0.96658,                0.95519,                 0.9083,                0.93723,                0.97279,                0.63039,                 1.2578,                0.73614,                0.96494,             0.00016519,             0.00016519,             0.00016519
                     73,                 1.1557,                0.91062,                0.94047,                0.92022,                0.93789,                0.97336,                0.65546,                 1.2038,                0.70942,                0.95453,             0.00015968,             0.00015968,             0.00015968
                     74,                 1.1943,                0.93074,                0.93226,                 0.9088,                0.95987,                0.97202,                0.65282,                 1.1603,                0.68522,                0.94469,             0.00015418,             0.00015418,             0.00015418
                     75,                 1.1983,                0.94538,                0.96727,                0.92925,                0.96437,                0.97446,                0.62722,                 1.2094,                0.68588,                0.95413,             0.00014867,             0.00014867,             0.00014867
                     76,                 1.2283,                0.95467,                0.94497,                0.93325,                0.94784,                0.97556,                0.63534,                 1.2076,                0.70743,                0.95491,             0.00014317,             0.00014317,             0.00014317
                     77,                 1.1898,                0.96874,                0.94332,                0.88436,                0.95875,                0.96435,                 0.6512,                 1.2113,                 0.7184,                0.95156,             0.00013767,             0.00013767,             0.00013767
                     78,                  1.257,                0.99506,                0.96715,                0.88727,                0.95346,                0.96854,                0.63516,                 1.1911,                0.71633,                0.95282,             0.00013216,             0.00013216,             0.00013216
                     79,                 1.2282,                0.93243,                0.95011,                0.90912,                0.94363,                0.96992,                0.62602,                  1.191,                0.70015,                0.95365,             0.00012666,             0.00012666,             0.00012666
                     80,                  1.195,                0.90657,                 0.9381,                 0.9262,                0.94066,                0.96436,                0.64234,                 1.2061,                0.71075,                0.95894,             0.00012115,             0.00012115,             0.00012115
                     81,                 1.1989,                0.92318,                0.94336,                 0.9155,                0.93687,                 0.9652,                0.63493,                 1.2406,                0.73161,                0.96385,             0.00011565,             0.00011565,             0.00011565
                     82,                 1.2016,                0.92751,                0.94942,                0.92029,                0.93443,                0.96772,                0.64678,                 1.2164,                0.73108,                0.96267,             0.00011014,             0.00011014,             0.00011014
                     83,                 1.2034,                 0.9404,                0.93542,                0.93484,                0.95383,                0.97144,                0.63391,                 1.2034,                0.71266,                0.95989,             0.00010464,             0.00010464,             0.00010464
                     84,                 1.1519,                0.88779,                 0.9401,                0.91543,                0.97449,                0.97407,                 0.6366,                 1.2015,                 0.7075,                0.96015,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     85,                 1.1672,                0.90759,                0.94638,                0.92672,                0.97034,                 0.9716,                0.62912,                 1.2105,                0.70891,                0.95752,              9.363e-05,              9.363e-05,              9.363e-05
                     86,                 1.1814,                0.88205,                0.94164,                  0.933,                 0.9695,                0.97286,                0.65005,                 1.1986,                0.70218,                 0.9502,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     87,                 1.1453,                0.88711,                0.92323,                 0.9355,                0.97422,                0.97572,                0.65415,                  1.185,                0.69649,                0.94719,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     88,                 1.1745,                0.91514,                0.93524,                0.93911,                0.96711,                0.97721,                0.65205,                 1.1685,                0.68208,                0.94072,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     89,                 1.1532,                0.90466,                0.93221,                0.93282,                0.98191,                0.98016,                0.66134,                 1.1734,                 0.6765,                0.94114,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     90,                 1.1417,                0.90342,                0.92568,                0.93209,                0.97128,                0.98295,                0.66807,                 1.1637,                0.68047,                0.93721,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     91,                 1.1511,                0.95993,                0.93873,                0.94303,                0.96118,                0.98602,                0.66078,                 1.1744,                0.68639,                 0.9434,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     92,                 1.1655,                0.94324,                0.94671,                0.92842,                0.97866,                0.98511,                0.65392,                 1.1895,                 0.6996,                0.94616,               5.51e-05,               5.51e-05,               5.51e-05
                     93,                 1.1603,                 0.9101,                0.94685,                0.93265,                0.97987,                0.98369,                 0.6554,                  1.184,                0.70312,                0.94359,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     94,                 1.1443,                0.90648,                0.94388,                0.93953,                0.97987,                 0.9838,                0.65032,                 1.1927,                0.69724,                 0.9453,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     95,                 1.1299,                0.87056,                0.95519,                0.93134,                0.98012,                0.98403,                0.64893,                 1.1951,                0.69434,                0.94451,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     96,                 1.1403,                0.88157,                0.96276,                0.92184,                 0.9721,                0.98538,                0.65855,                 1.1808,                0.68446,                0.94311,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     97,                 1.1016,                0.85851,                0.94875,                0.91941,                0.96993,                0.98604,                0.66153,                  1.177,                0.67822,                0.94221,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     98,                 1.1288,                0.87933,                0.95322,                0.92278,                0.97062,                0.98537,                 0.6531,                 1.1793,                0.67543,                0.94188,             2.2073e-05,             2.2073e-05,             2.2073e-05
                     99,                 1.1272,                0.86923,                0.94432,                0.92577,                0.97097,                0.98542,                 0.6524,                 1.1796,                0.67328,                0.94058,             1.6569e-05,             1.6569e-05,             1.6569e-05
                    100,                 1.1077,                0.83873,                0.93709,                0.93238,                0.95989,                0.98468,                0.66023,                 1.1767,                0.67978,                 0.9414,             1.1064e-05,             1.1064e-05,             1.1064e-05
